,season,teamName,week,team,opponent,result,owner,opponent_owner
826,2021,Chub Chub,8,4,The Salty Quackers,91.87 - 141.00 Loss,John,Ryan
827,2021,Chub Chub,9,4,Certified Baby Lover,83.40 - 140.53 Loss,John,Kevin
828,2021,Chub Chub,10,4,Krispy Cream Abdul Jabbar,145.00 - 177.87 Loss,John,Owen
829,2021,Chub Chub,11,4,Hemorrhoids On the Ass,114.00 - 170.10 Loss,John,zeyad
830,2021,Chub Chub,12,4,The Poop Store,83.20 - 170.60 Loss,John,Jake
831,2021,Chub Chub,13,4,Peter is a nonce,135.60 - 125.40 Win,John,nickolai
832,2021,Chub Chub,14,4,Balls Galore Whorioles,141.44 - 163.43 Loss,John,Peter
833,2021,Chub Chub,15,4,The Salty Quackers,77.17 - 147.97 Loss,John,Ryan
834,2021,Chub Chub,16,4,Krispy Cream Abdul Jabbar,86.67 - 164.80 Loss,John,Owen
835,2021,Chub Chub,17,4,Certified Baby Lover,130.30 - 217.30 Loss,John,Kevin
836,2021,Balls Galore Whorioles,1,5,Hemorrhoids On the Ass,143.17 - 137.63 Win,Peter,zeyad
837,2021,Balls Galore Whorioles,2,5,The Poop Store,117.33 - 202.07 Loss,Peter,Jake
838,2021,Balls Galore Whorioles,3,5,Peter is a nonce,102.43 - 179.57 Loss,Peter,nickolai
839,2021,Balls Galore Whorioles,4,5,Krispy Cream Abdul Jabbar,143.37 - 161.63 Loss,Peter,Owen
840,2021,Balls Galore Whorioles,5,5,The Salty Quackers,195.67 - 208.40 Loss,Peter,Ryan
841,2021,Balls Galore Whorioles,6,5,Certified Baby Lover,132.63 - 137.70 Loss,Peter,Kevin
842,2021,Balls Galore Whorioles,7,5,Chub Chub,140.66 - 125.30 Win,Peter,John
843,2021,Balls Galore Whorioles,8,5,Hemorrhoids On the Ass,137.64 - 146.13 Loss,Peter,zeyad
844,2021,Balls Galore Whorioles,9,5,The Poop Store,123.23 - 110.40 Win,Peter,Jake
845,2021,Balls Galore Whorioles,10,5,Peter is a nonce,111.37 - 116.30 Loss,Peter,nickolai
846,2021,Balls Galore Whorioles,11,5,Krispy Cream Abdul Jabbar,120.93 - 114.66 Win,Peter,Owen
