,season,teamName,week,team,opponent,result,owner,opponent_owner
617,2019,WeSnatchee AppleCox,10,7,Footle My Tootle,169.16 - 141.67 Win,Ryan,Jake
618,2019,WeSnatchee AppleCox,11,7,Bums Away,154.20 - 132.23 Win,Ryan,nickolai
619,2019,WeSnatchee AppleCox,12,7,Woofy Doing Kevin Doggy,95.50 - 156.07 Loss,Ryan,Peter
620,2019,WeSnatchee AppleCox,13,7,I Have A Cream,128.80 - 112.43 Win,Ryan,Owen
621,2019,WeSnatchee AppleCox,14,7,FunderSnatch,131.70 - 132.27 Loss,Ryan,Kevin
622,2019,WeSnatchee AppleCox,15,7,FunderSnatch,151.23 - 147.83 Win,Ryan,Kevin
623,2019,WeSnatchee AppleCox,16,7,I Have A Cream,154.33 - 192.13 Loss,Ryan,Owen
624,2019,Footle My Tootle,1,8,Bums Away,144.30 - 167.60 Loss,Jake,nickolai
625,2019,Footle My Tootle,2,8,Woofy Doing Kevin Doggy,155.07 - 139.70 Win,Jake,Peter
626,2019,Footle My Tootle,3,8,WeSnatchee AppleCox,183.27 - 186.30 Loss,Jake,Ryan
627,2019,Footle My Tootle,4,8,FunderSnatch,206.17 - 104.90 Win,Jake,Kevin
628,2019,Footle My Tootle,5,8,Chub Chub,145.30 - 187.50 Loss,Jake,John
629,2019,Footle My Tootle,6,8,Bing Bong,162.33 - 111.87 Win,Jake,zeyad
630,2019,Footle My Tootle,7,8,I Have A Cream,139.07 - 118.60 Win,Jake,Owen
631,2019,Footle My Tootle,8,8,Bums Away,216.20 - 174.17 Win,Jake,nickolai
632,2019,Footle My Tootle,9,8,Woofy Doing Kevin Doggy,144.87 - 107.40 Win,Jake,Peter
633,2019,Footle My Tootle,10,8,WeSnatchee AppleCox,141.67 - 169.16 Loss,Jake,Ryan
634,2019,Footle My Tootle,11,8,FunderSnatch,150.50 - 151.73 Loss,Jake,Kevin
635,2019,Footle My Tootle,12,8,Chub Chub,159.77 - 170.63 Loss,Jake,John
636,2019,Footle My Tootle,13,8,Bing Bong,159.00 - 145.80 Win,Jake,zeyad
637,2019,Footle My Tootle,14,8,I Have A Cream,157.07 - 142.67 Win,Jake,Owen
638,2019,Footle My Tootle,15,8,I Have A Cream,183.13 - 183.93 Loss,Jake,Owen
639,2019,Footle My Tootle,16,8,FunderSnatch,159.77 - 97.23 Win,Jake,Kevin
640,2020,Creamworks VII,1,1,The Yoshinoya Beef Bowls,152.97 - 177.83 Loss,Owen,Kevin
641,2020,Creamworks VII,2,1,Munter Hunters,138.53 - 155.70 Loss,Owen,nickolai
